pk_cid,recency,ingesta,frequency,monetary_value,r_quartile,f_quartile,m_quartile,i_quartile,RFMScore,region_code,salary,age,gender,unidades_vendidas_total,em_acount,debit_card
1391293,415,395,14,2050.0,4,1,1,1,411,8.0,113652.32033026773,40.0,2.0,5.0,0.0,1.0
1393204,402,395,14,2040.0,4,1,1,1,411,22.0,113652.32033026773,46.0,2.0,4.0,0.0,1.0
1379723,480,454,16,2040.0,4,1,1,1,411,7.0,113652.32033026773,28.0,2.0,5.0,0.0,1.0
1260424,508,485,17,2030.0,4,1,1,1,411,15.0,81888.0,33.0,1.0,3.0,1.0,1.0
1380307,478,454,16,2020.0,4,1,1,1,411,30.0,105335.25,49.0,2.0,5.0,0.0,0.0
1383514,463,454,16,2020.0,4,1,1,1,411,28.0,150352.41,55.0,2.0,4.0,1.0,1.0
1382666,466,454,16,2010.0,4,1,1,1,411,7.0,113652.32033026773,39.0,1.0,4.0,1.0,1.0
1386264,449,426,15,2010.0,4,1,1,1,411,11.0,113652.32033026773,37.0,1.0,5.0,0.0,1.0
1376821,494,485,17,2000.0,4,1,1,1,411,47.0,76625.58,38.0,1.0,4.0,0.0,1.0
1397839,374,365,13,1990.0,4,1,1,1,411,29.0,138009.15000000002,57.0,1.0,5.0,0.0,1.0
1386112,450,365,13,1990.0,4,1,1,1,411,35.0,51583.11,57.0,2.0,5.0,0.0,1.0
1389436,429,426,15,1990.0,4,1,1,1,411,18.0,112267.32,46.0,1.0,5.0,0.0,1.0
1383996,459,454,16,1980.0,4,1,1,1,411,50.0,80882.94,39.0,2.0,5.0,0.0,1.0
1399618,364,334,12,1980.0,4,1,1,1,411,20.0,113652.32033026773,42.0,1.0,5.0,0.0,1.0
1374025,508,485,17,1980.0,4,1,1,1,411,28.0,103588.13999999998,28.0,2.0,5.0,0.0,1.0
549722,451,426,15,1980.0,4,1,1,1,411,28.0,100154.22,40.0,2.0,3.0,1.0,1.0
1402957,338,334,12,1980.0,4,1,1,1,411,28.0,126445.08,37.0,1.0,5.5,0.0,1.0
1393026,403,365,13,1980.0,4,1,1,1,411,41.0,62021.85000000001,29.0,2.0,5.0,0.0,1.0
1374144,508,485,17,1970.0,4,1,1,1,411,39.0,66371.76,30.0,2.0,4.0,0.0,1.0
1381221,473,454,16,1960.0,4,1,1,1,411,12.0,55606.29,22.0,2.0,3.0,1.0,1.0
1378440,486,485,17,1960.0,4,1,1,1,411,46.0,56908.65,40.0,1.0,4.0,0.0,1.0
1379763,480,454,16,1960.0,4,1,1,1,411,28.0,113652.32033026773,36.0,1.0,5.0,1.0,1.0
1374452,506,485,17,1960.0,4,1,1,1,411,8.0,113652.32033026773,50.0,2.0,2.0,0.0,1.0
1384356,458,454,16,1960.0,4,1,1,1,411,36.0,100209.6,42.0,1.0,4.0,1.0,1.0
1374643,506,485,17,1960.0,4,1,1,1,411,15.0,86708.1,33.0,1.0,3.0,1.0,1.0
1377138,493,485,17,1950.0,4,1,1,1,411,46.0,88961.22,66.0,1.0,4.0,1.0,1.0
1375500,501,485,17,1950.0,4,1,1,1,411,28.0,59632.89,32.0,2.0,5.0,0.0,0.0
1374284,508,485,17,1950.0,4,1,1,1,411,45.0,55707.75,43.0,2.0,4.0,1.0,1.0
1375496,501,485,17,1940.0,4,1,1,1,411,43.0,113652.32033026773,40.0,2.0,4.0,0.0,1.0
1385900,450,426,15,1940.0,4,1,1,1,411,28.0,114283.32,48.0,2.0,5.0,0.0,1.0
1374152,508,485,17,1940.0,4,1,1,1,411,28.0,99064.13999999998,38.0,1.0,4.0,0.0,1.0
1376458,498,485,17,1930.0,4,1,1,1,411,36.0,101583.72,33.0,2.0,4.0,0.0,1.0
1376274,498,485,17,1930.0,4,1,1,1,411,28.0,382094.43,49.0,2.0,4.0,0.0,1.0
1393063,403,395,14,1930.0,4,1,1,1,411,36.0,164876.09999999998,56.0,2.0,4.0,0.0,1.0
1381886,471,454,16,1930.0,4,1,1,1,411,28.0,76640.70000000001,50.0,1.0,4.0,0.0,1.0
1394220,396,395,14,1930.0,4,1,1,1,411,28.0,124006.32,20.0,1.0,5.0,0.0,1.0
1399962,360,334,12,1930.0,4,1,1,1,411,28.0,111588.54,52.0,1.0,5.0,0.0,1.0
1374730,505,485,17,1930.0,4,1,1,1,411,28.0,256461.0,35.0,2.0,4.0,0.0,1.0
1387082,443,426,15,1920.0,4,1,1,1,411,26.0,196749.33,35.0,2.0,5.0,0.0,1.0
1246858,366,334,12,1920.0,4,1,1,1,411,28.0,138880.77,59.0,2.0,5.0,0.0,1.0
1382737,466,454,16,1920.0,4,1,1,1,411,46.0,43719.66,54.5,2.0,4.0,1.0,1.0
1374727,505,485,17,1920.0,4,1,1,1,411,28.0,152754.09,35.0,1.0,4.0,1.0,1.0
1374801,505,485,17,1910.0,4,1,1,1,411,28.0,93593.46,40.0,2.0,3.0,1.0,1.0
1382518,469,454,16,1910.0,4,1,1,1,411,23.5,114608.31,31.0,2.0,5.0,0.0,1.0
1383738,462,426,15,1910.0,4,1,1,1,411,29.0,70200.24,41.0,2.0,5.0,0.0,1.0
1383081,465,454,16,1910.0,4,1,1,1,411,28.0,167418.51,33.0,1.0,5.0,0.0,1.0
1376577,497,485,17,1910.0,4,1,1,1,411,28.0,50198.58,45.0,1.0,3.0,0.0,1.0
1390661,417,395,14,1900.0,4,1,1,1,411,28.0,70231.5,41.0,1.0,4.5,0.0,1.0
1381450,473,454,16,1900.0,4,1,1,1,411,30.0,74706.24,21.0,2.0,3.0,1.0,1.0
1383396,464,454,16,1900.0,4,1,1,1,411,39.0,95455.02,32.0,1.0,5.0,0.0,0.0
1377265,493,485,17,1900.0,4,1,1,1,411,28.0,155186.94,60.0,1.0,5.0,0.0,1.0
1383841,462,454,16,1890.0,4,1,1,1,411,29.0,86977.14,38.0,2.0,5.5,1.0,1.0
1374300,508,485,17,1890.0,4,1,1,1,411,50.0,58442.52,32.0,1.0,4.0,0.0,1.0
1387214,443,426,15,1880.0,4,1,1,1,411,30.0,51289.74000000001,42.0,2.0,4.0,0.0,1.0
1383601,463,454,16,1880.0,4,1,1,1,411,3.0,113652.32033026773,37.0,1.0,5.0,0.0,1.0
1397445,375,365,13,1880.0,4,1,1,1,411,28.0,113652.32033026773,51.0,2.0,5.0,0.0,1.0
1377883,490,485,17,1880.0,4,1,1,1,411,8.0,113652.32033026773,31.0,1.0,4.0,0.0,1.0
1383509,463,454,16,1880.0,4,1,1,1,411,9.0,113652.32033026773,49.0,1.0,4.0,0.0,1.0
1384421,458,454,16,1870.0,4,1,1,1,411,28.0,166465.44,40.0,2.0,4.0,0.0,1.0
1377862,490,485,17,1870.0,4,1,1,1,411,28.0,152034.03,45.0,1.0,5.0,0.0,1.0
1410579,311,304,11,1870.0,4,1,1,2,411,20.0,113652.32033026773,40.0,2.0,7.0,1.0,1.0
1383783,462,454,16,1870.0,4,1,1,1,411,15.0,113652.32033026773,33.0,2.0,4.0,0.0,1.0
1374081,508,485,17,1870.0,4,1,1,1,411,18.0,43049.88,33.0,2.0,4.0,0.0,1.0
1395108,389,365,13,1870.0,4,1,1,1,411,19.0,111532.23,56.0,1.0,5.0,0.0,1.0
1380498,477,454,16,1860.0,4,1,1,1,411,3.0,66001.41,36.0,1.0,4.0,0.0,1.0
1377876,490,485,17,1860.0,4,1,1,1,411,28.0,107983.62,46.0,1.0,4.0,0.0,1.0
1378616,486,485,17,1850.0,4,1,1,1,411,7.0,113652.32033026773,38.0,1.0,5.0,0.0,1.0
1384930,456,454,16,1850.0,4,1,1,1,411,3.0,72194.19,41.0,2.0,4.0,0.0,1.0
1376636,497,454,16,1850.0,4,1,1,1,411,30.0,69987.36,29.0,2.0,4.0,0.0,1.0
1378378,487,485,17,1850.0,4,1,1,1,411,28.0,113652.32033026773,51.0,2.0,3.0,1.0,1.0
1395987,386,365,13,1850.0,4,1,1,1,411,28.0,169613.84999999998,68.0,2.0,4.0,0.0,1.0
1386739,445,426,15,1850.0,4,1,1,1,411,47.0,111780.27,34.0,2.0,3.0,1.0,0.0
1379005,484,454,16,1840.0,4,1,1,1,411,28.0,224664.72000000003,28.0,2.0,4.5,1.0,1.0
1377899,490,485,17,1840.0,4,1,1,1,411,24.0,30651.12000000001,35.0,2.0,4.0,0.0,1.0
1375242,504,485,17,1830.0,4,1,1,1,411,4.0,88205.06999999998,49.0,1.0,4.0,1.0,1.0
1374028,508,485,17,1830.0,4,1,1,1,411,50.0,124191.72,35.0,1.0,4.0,0.0,1.0
1382776,466,454,16,1830.0,4,1,1,1,411,19.0,47069.46,45.0,1.0,4.0,0.0,1.0
1376968,494,485,17,1830.0,4,1,1,1,411,12.0,55719.42,48.0,1.0,4.0,0.0,1.0
1375732,500,485,17,1830.0,4,1,1,1,411,41.0,53441.4,30.0,2.0,4.0,0.0,1.0
1377589,492,485,17,1830.0,4,1,1,1,411,41.0,51925.5,48.0,1.0,4.0,0.0,1.0
1378789,485,485,17,1820.0,4,1,1,1,411,11.0,48342.15,39.0,2.0,4.0,0.0,1.0
1378417,486,485,17,1820.0,4,1,1,1,411,8.0,233105.1,40.0,1.0,4.0,0.0,1.0
1239441,500,485,17,1820.0,4,1,1,1,411,28.0,196583.73,57.0,2.0,3.0,1.0,1.0
1387691,438,426,15,1820.0,4,1,1,1,411,28.0,167791.32,47.0,1.0,5.0,0.0,1.0
1374264,508,485,17,1820.0,4,1,1,1,411,28.0,92191.38,32.0,1.0,4.0,0.0,1.0
1387120,443,426,15,1810.0,4,1,1,1,411,45.0,75323.64,32.0,2.0,4.0,0.0,1.0
1377543,492,485,17,1810.0,4,1,1,1,411,38.0,115796.37,44.0,1.0,4.0,0.0,1.0
1378453,486,454,16,1810.0,4,1,1,1,411,20.0,113652.32033026773,65.0,1.0,4.0,0.0,1.0
1379436,480,454,16,1810.0,4,1,1,1,411,35.0,40764.06,45.0,2.0,4.0,0.0,1.0
1395213,389,365,13,1800.0,4,1,1,1,411,3.0,92244.75,35.0,1.0,4.0,1.0,1.0
1378539,486,454,16,1800.0,4,1,1,1,411,50.0,57301.26,43.0,2.0,4.0,0.0,1.0
1383271,464,454,16,1800.0,4,1,1,1,411,28.0,209877.27,27.0,1.0,5.0,1.0,0.0
1377679,491,485,17,1790.0,4,1,1,1,411,28.0,169025.43,21.0,2.0,3.0,0.0,1.0
1375059,504,485,17,1790.0,4,1,1,1,411,50.0,58442.52,34.0,2.0,4.0,0.0,1.0
1387628,441,426,15,1790.0,4,1,1,1,411,7.0,232321.89,50.0,2.0,4.0,1.0,1.0
1374267,508,485,17,1780.0,4,1,1,1,411,28.0,107425.53,42.0,1.0,4.0,0.0,1.0
1384915,456,426,15,1780.0,4,1,1,1,411,28.0,81014.4,39.0,2.0,4.0,0.0,1.0
1382618,466,454,16,1780.0,4,1,1,1,411,28.0,137170.47,52.0,2.0,3.0,1.0,1.0
1383839,462,454,16,1780.0,4,1,1,1,411,8.0,104813.7,55.0,2.0,5.0,1.0,1.0
1406189,318,304,11,1780.0,4,1,1,2,411,22.0,122322.66,53.0,1.0,6.0,0.0,1.0
1394476,395,395,14,1780.0,4,1,1,1,411,48.0,113652.32033026773,31.0,1.0,5.0,1.0,1.0
1391903,410,395,14,1780.0,4,1,1,1,411,4.0,79954.04999999999,45.0,1.0,4.0,0.0,1.0
1380599,477,454,16,1770.0,4,1,1,1,411,18.0,77458.44,61.0,2.0,4.0,0.0,1.0
1374572,506,485,17,1770.0,4,1,1,1,411,31.0,113652.32033026773,45.0,2.0,4.0,0.0,1.0
1387915,438,426,15,1770.0,4,1,1,1,411,7.0,78218.70000000001,33.0,1.0,5.0,1.0,1.0
1391179,415,395,14,1770.0,4,1,1,1,411,28.0,127920.33,53.0,1.0,5.0,0.0,1.0
1397365,375,365,13,1770.0,4,1,1,1,411,48.0,113652.32033026773,32.0,2.0,4.0,0.0,1.0
1251053,506,485,17,1770.0,4,1,1,1,411,15.0,67059.95999999999,33.0,2.0,4.0,0.0,1.0
1389331,381,365,13,1760.0,4,1,1,1,411,28.0,210885.24,33.0,1.0,4.0,0.0,1.0
1379800,479,454,16,1760.0,4,1,1,1,411,41.0,113652.32033026773,44.0,1.0,4.0,0.0,1.0
1380627,477,454,16,1760.0,4,1,1,1,411,36.0,72762.95999999999,32.0,2.0,4.0,0.0,1.0
1137633,465,454,16,1760.0,4,1,1,1,411,29.0,70720.65,34.0,1.0,4.0,0.0,1.0
1379718,480,454,16,1760.0,4,1,1,1,411,48.0,113652.32033026773,37.0,1.0,4.5,1.0,1.0
1405769,321,304,11,1760.0,4,1,1,2,411,1.0,113652.32033026773,38.0,1.0,5.0,1.0,1.0
1374736,505,485,17,1760.0,4,1,1,1,411,28.0,113652.32033026773,47.0,1.0,4.0,0.0,1.0
1379922,479,454,16,1760.0,4,1,1,1,411,41.0,61838.52,34.0,1.0,4.0,0.0,1.0
1380419,477,454,16,1760.0,4,1,1,1,411,28.0,250230.9,33.0,2.0,3.0,1.0,1.0
1382088,471,454,16,1760.0,4,1,1,1,411,29.0,159126.24,47.0,2.0,4.0,0.0,1.0
1382313,470,454,16,1750.0,4,1,1,1,411,3.0,35612.25,43.0,2.0,4.0,0.0,1.0
545354,497,485,17,1750.0,4,1,1,1,411,28.0,84237.54000000001,66.0,1.0,5.0,0.0,0.0
1386242,449,426,15,1750.0,4,1,1,1,411,3.0,17647.86,56.0,2.0,4.0,0.0,1.0
1384005,459,454,16,1750.0,4,1,1,1,411,28.0,132658.98,58.0,2.0,4.0,0.0,1.0
1386246,449,426,15,1750.0,4,1,1,1,411,46.0,53150.88,34.0,1.0,4.0,0.0,1.0
1380533,477,454,16,1750.0,4,1,1,1,411,19.0,112706.82,46.0,2.0,5.0,0.0,1.0
1405967,319,304,11,1740.0,4,1,1,2,411,28.0,163631.79,53.0,1.0,6.0,0.0,1.0
1395823,387,365,13,1740.0,4,1,1,1,411,17.0,113652.32033026773,44.0,1.0,4.0,0.0,1.0
1375471,501,426,15,1740.0,4,1,1,1,411,28.0,128895.12,29.0,1.0,4.0,0.0,1.0
32376,483,426,15,1740.0,4,1,1,1,411,28.0,180092.76,47.0,1.0,4.0,0.0,1.0
1375385,501,485,17,1740.0,4,1,1,1,411,35.0,76079.19,48.0,2.0,4.0,0.0,1.0
1378413,486,485,17,1740.0,4,1,1,1,411,17.0,78465.33,45.0,2.0,3.0,1.0,1.0
1393215,402,395,14,1740.0,4,1,1,1,411,28.0,84851.19,30.0,2.0,5.0,0.0,1.0
1387072,443,426,15,1740.0,4,1,1,1,411,28.0,61659.27,55.0,2.0,4.0,0.0,1.0
303872,452,395,14,1740.0,4,1,1,1,411,46.0,91824.93,84.0,1.0,3.0,0.0,1.0
1376883,494,485,17,1740.0,4,1,1,1,411,5.0,113652.32033026773,65.0,2.0,4.0,1.0,1.0
1385789,451,426,15,1740.0,4,1,1,1,411,18.0,88634.01,60.0,1.0,4.0,0.0,1.0
1384945,456,454,16,1740.0,4,1,1,1,411,8.0,134051.31,32.0,1.0,4.0,1.0,1.0
1386083,450,426,15,1740.0,4,1,1,1,411,28.0,130817.28,30.0,1.0,4.0,0.0,1.0
1388674,434,426,15,1740.0,4,1,1,1,411,47.0,199009.11,53.0,2.0,5.0,0.0,1.0
1388165,437,426,15,1740.0,4,1,1,1,411,36.0,65519.94,26.0,1.0,4.0,0.0,1.0
1376262,498,485,17,1730.0,4,1,1,1,411,8.0,183253.53,56.0,2.0,4.0,0.0,1.0
1387350,442,426,15,1730.0,4,1,1,1,411,38.0,113652.32033026773,51.0,2.0,3.0,0.0,1.0
1404593,327,304,11,1730.0,4,1,1,2,411,8.0,34541.64,39.0,2.0,6.0,1.0,1.0
1395140,389,365,13,1730.0,4,1,1,1,411,29.0,39647.01,39.0,2.0,5.0,0.0,1.0
1378390,487,485,17,1730.0,4,1,1,1,411,2.0,100934.79,49.0,2.0,4.0,0.0,1.0
1374245,508,485,17,1730.0,4,1,1,1,411,46.0,87471.24,28.0,2.0,5.0,0.0,1.0
1375148,504,485,17,1730.0,4,1,1,1,411,28.0,157584.75,33.0,2.0,4.0,0.0,1.0
1390086,424,395,14,1730.0,4,1,1,1,411,28.0,108410.82,42.0,2.0,4.0,1.0,1.0
1386800,445,426,15,1730.0,4,1,1,1,411,28.0,85839.9,39.0,2.0,5.0,0.0,1.0
1383109,465,454,16,1730.0,4,1,1,1,411,28.0,113652.32033026773,50.0,1.0,4.0,0.5,0.0
1375145,504,485,17,1720.0,4,1,1,1,411,23.0,113652.32033026773,34.0,1.0,4.0,0.0,1.0
1397007,380,365,13,1720.0,4,1,1,1,411,11.0,70079.37,53.0,2.0,4.0,0.0,1.0
1383297,464,426,15,1720.0,4,1,1,1,411,28.0,115221.81,27.0,2.0,4.0,0.0,0.0
1391308,415,395,14,1720.0,4,1,1,1,411,50.0,109173.48,49.0,1.0,4.0,0.0,1.0
1387950,438,426,15,1720.0,4,1,1,1,411,8.0,116625.96,28.0,1.0,5.0,0.0,1.0
1381735,472,454,16,1720.0,4,1,1,1,411,46.0,67256.16,40.0,2.0,4.0,1.0,1.0
1375485,501,485,17,1720.0,4,1,1,1,411,24.0,140421.75,26.0,2.0,4.0,0.0,1.0
1393071,403,395,14,1720.0,4,1,1,1,411,28.0,80323.62,29.0,2.0,5.0,0.0,1.0
1375760,500,485,17,1720.0,4,1,1,1,411,28.0,39583.62,32.0,2.0,4.0,0.0,1.0
1383775,462,426,15,1710.0,4,1,1,1,411,24.0,113652.32033026773,37.0,1.0,4.0,0.0,1.0
1393917,399,395,14,1710.0,4,1,1,1,411,28.0,115213.23,32.0,1.0,4.0,0.0,0.0
1398684,368,365,13,1710.0,4,1,1,1,411,28.0,185518.95,27.0,1.0,4.0,0.0,1.0
1375680,501,485,17,1710.0,4,1,1,1,411,41.0,64567.11,48.0,1.0,4.0,0.0,1.0
1405837,320,304,11,1700.0,4,1,1,2,411,30.0,121422.24,47.0,1.0,5.0,0.0,1.0
1392544,407,365,13,1700.0,4,1,1,1,411,28.0,92742.0,59.0,2.0,4.0,0.0,1.0
1375748,500,485,17,1700.0,4,1,1,1,411,37.0,51535.92,39.0,1.0,4.0,0.0,1.0
1381746,472,454,16,1700.0,4,1,1,1,411,30.0,113652.32033026773,29.0,2.0,5.0,1.0,1.0
1379874,479,454,16,1700.0,4,1,1,1,411,28.0,113652.32033026773,35.0,2.0,4.0,0.0,1.0
1377561,492,485,17,1700.0,4,1,1,1,411,8.0,175131.45,57.0,2.0,3.0,1.0,1.0
1382112,471,454,16,1700.0,4,1,1,1,411,9.0,54736.35000000001,36.0,1.0,4.0,0.0,1.0
1374705,506,485,17,1690.0,4,1,1,1,411,28.0,43310.64,30.0,1.0,4.0,0.0,1.0
1391799,410,395,14,1690.0,4,1,1,1,411,28.0,58736.81999999999,39.0,2.0,5.0,1.0,1.0
