,pk_cid,recency,ingesta,frequency,monetary_value,r_quartile,f_quartile,m_quartile,i_quartile,RFMScore,region_code,salary,age,gender,unidades_vendidas_total,em_acount,debit_card
9469,1376901,494,454,16,280,4,1,1,1,411,28.0,179716,41,2,1.0,1.0,0.0
10586,1410901,311,304,11,230,4,1,1,2,411,11.0,84978,52,1,1.0,1.0,0.0
1984,1387954,438,426,15,990,4,1,1,1,411,8.0,180157,38,1,2.0,1.0,1.0
11622,1393795,399,395,14,180,4,1,1,1,411,13.0,86254,49,1,0.0,0.0,0.0
5809,1399958,361,334,12,600,4,1,1,1,411,50.0,60751,56,2,2.0,1.0,0.0
9594,1375316,501,485,17,270,4,1,1,1,411,19.0,144391,28,1,1.0,0.0,0.0
2611,1378809,485,454,16,900,4,1,1,1,411,3.0,37507,28,2,3.0,0.0,0.0
6013,1395733,387,365,13,590,4,1,1,1,411,45.0,50345,39,2,3.0,0.0,0.0
4877,1398538,368,365,13,670,4,1,1,1,411,8.0,127745,45,1,2.0,1.0,1.0
7347,1405863,319,304,11,470,4,1,1,2,411,3.0,55918,28,1,2.0,1.0,1.0
6733,1397136,379,365,13,530,4,1,1,1,411,28.0,48893,34,2,1.0,1.0,1.0
3582,1388505,435,395,14,780,4,1,1,1,411,41.0,141400,23,2,2.0,1.0,1.0
9257,1390261,423,395,14,290,4,1,1,1,411,46.0,123427,32,1,1.0,0.0,0.0
4871,1401581,347,334,12,670,4,1,1,1,411,7.0,113652,50,2,3.0,0.0,0.0
2628,1400880,353,334,12,900,4,1,1,1,411,28.0,105811,29,1,2.0,0.5,0.0
10706,1407068,316,304,11,230,4,1,1,2,411,31.0,113652,31,1,1.0,1.0,0.0
5609,1397994,373,365,13,620,4,1,1,1,411,3.0,61553,37,2,1.0,1.0,0.0
2215,332532,483,454,16,960,4,1,1,1,411,28.0,74513,45,1,3.0,0.0,0.0
4226,79841,346,334,12,720,4,1,1,1,411,28.0,304534,51,1,1.0,0.0,0.0
9342,1375068,504,485,17,290,4,1,1,1,411,8.0,144120,30,2,1.0,1.0,0.0
10463,1406455,317,304,11,230,4,1,1,2,411,28.0,88466,44,2,1.0,0.0,0.0
10741,1382071,471,454,16,220,4,1,1,1,411,47.0,168733,32,1,1.0,1.0,0.0
6876,1414699,308,304,11,520,4,1,1,2,411,8.0,82810,24,2,2.0,1.0,1.0
4682,1375733,500,485,17,690,4,1,1,1,411,24.0,46937,34,1,1.0,0.0,0.0
2576,1390973,416,395,14,910,4,1,1,1,411,29.0,72382,32,1,2.0,1.0,1.0
11045,624577,361,334,12,210,4,1,1,1,411,28.0,70682,73,1,2.0,1.0,0.0
11094,1111682,442,426,15,210,4,1,1,1,411,28.0,119253,45,2,1.0,1.0,0.0
5640,1404266,330,304,11,610,4,1,1,2,411,46.0,38691,27,1,3.0,0.0,0.0
8303,1396205,385,365,13,370,4,1,1,1,411,37.0,76107,36,1,1.0,1.0,0.0
8741,1387168,443,426,15,330,4,1,1,1,411,28.0,140061,49,2,1.0,1.0,0.0
10417,1378156,487,454,16,240,4,1,1,1,411,22.0,89760,64,2,1.0,1.0,0.0
10740,1379068,484,454,16,220,4,1,1,1,411,28.0,52083,28,1,1.0,1.0,0.0
5202,1377477,492,485,17,650,4,1,1,1,411,31.0,113652,36,2,1.0,1.0,0.0
4129,1397437,375,365,13,730,4,1,1,1,411,46.0,61431,44,2,2.0,1.0,1.0
8067,1380177,478,454,16,400,4,1,1,1,411,15.0,107391,42,1,1.0,1.0,0.0
1623,1382504,469,454,16,1060,4,1,1,1,411,8.0,113652,36,2,2.0,1.0,1.0
6594,1393825,399,395,14,540,4,1,1,1,411,28.0,70836,90,1,2.0,0.0,0.0
9354,1404926,325,304,11,290,4,1,1,2,411,28.0,782011,20,2,1.0,1.0,0.0
9585,1384950,456,454,16,280,4,1,1,1,411,28.0,123038,40,1,1.0,1.0,0.0
2009,1381210,473,454,16,990,4,1,1,1,411,31.0,113652,36,1,2.0,1.0,1.0
7447,1419522,304,304,11,470,4,1,1,2,411,30.0,109797,20,1,2.0,1.0,1.0
9251,1405494,323,304,11,290,4,1,1,2,411,25.0,56575,43,1,1.0,1.0,0.0
429,1392829,406,395,14,1520,4,1,1,1,411,8.0,116967,33,2,4.0,0.0,1.0
10381,1386696,445,395,14,240,4,1,1,1,411,46.0,46689,58,1,1.0,1.0,0.0
11201,1387468,442,426,15,200,4,1,1,1,411,28.0,87743,36,2,1.0,0.0,0.0
3753,1405325,324,304,11,770,4,1,1,2,411,41.0,106287,38,2,2.0,1.0,1.0
5022,1402096,345,334,12,660,4,1,1,1,411,28.0,143031,35,2,2.0,1.0,1.0
2102,1392091,410,395,14,980,4,1,1,1,411,9.0,90919,31,1,2.0,1.0,1.0
1496,1374033,508,485,17,1070,4,1,1,1,411,40.0,113652,34,2,2.0,1.0,1.0
764,1379747,480,454,16,1310,4,1,1,1,411,30.0,113652,35,1,2.0,0.0,1.0
10425,1380285,478,454,16,240,4,1,1,1,411,28.0,77340,50,2,1.0,1.0,0.0
11742,1406163,318,304,11,170,4,1,1,2,411,36.0,52453,33,1,1.0,1.0,0.0
8014,1375492,501,485,17,410,4,1,1,1,411,3.0,42916,34,2,1.0,1.0,0.0
6578,1400826,354,334,12,540,4,1,1,1,411,28.0,113652,40,2,2.0,1.0,1.0
10628,1389771,427,395,14,230,4,1,1,1,411,28.0,209073,60,2,1.0,0.0,0.0
3274,1376659,497,485,17,810,4,1,1,1,411,45.0,113652,42,2,2.0,1.0,0.0
747,374423,469,454,16,1330,4,1,1,1,411,5.0,113652,54,1,3.0,0.0,0.0
4949,1381397,473,454,16,670,4,1,1,1,411,28.0,207146,33,1,1.0,0.0,0.0
2629,1388692,434,365,13,900,4,1,1,1,411,28.0,90653,32,2,2.0,1.0,1.0
19,1375008,504,485,17,2540,4,1,1,1,411,28.0,241063,54,2,5.0,0.0,1.0
8892,1391389,414,395,14,320,4,1,1,1,411,37.0,88470,34,1,1.0,1.0,0.0
5151,1398250,372,365,13,650,4,1,1,1,411,28.0,105215,68,2,2.0,1.0,0.0
9950,1392224,409,395,14,260,4,1,1,1,411,45.0,103353,39,1,1.0,1.0,0.0
4238,1399921,361,334,12,720,4,1,1,1,411,28.0,325667,22,1,2.0,1.0,1.0
7209,1391348,415,395,14,490,4,1,1,1,411,8.0,113652,29,2,2.0,0.0,0.0
5851,1386820,444,426,15,600,4,1,1,1,411,28.0,166745,68,2,2.0,0.0,0.0
5707,1406376,318,304,11,610,4,1,1,2,411,46.0,32129,32,1,2.0,1.0,0.0
2388,1378694,485,485,17,930,4,1,1,1,411,15.0,43810,37,1,1.0,1.0,0.0
5168,1395590,387,365,13,650,4,1,1,1,411,48.0,113652,47,1,2.0,1.0,0.0
4786,1386706,445,426,15,680,4,1,1,1,411,41.0,143435,25,2,2.0,1.0,1.0
11167,1420046,304,304,11,200,4,1,1,2,411,8.0,116038,43,2,1.0,0.0,0.0
5230,1394359,395,304,11,650,4,1,1,2,411,47.0,128298,29,2,2.0,1.0,1.0
6497,1384448,458,454,16,550,4,1,1,1,411,28.0,270433,33,2,1.0,0.0,0.0
5523,1385214,455,426,15,630,4,1,1,1,411,46.0,74237,36,1,2.0,1.0,0.0
6210,1402704,340,334,12,570,4,1,1,1,411,46.0,55489,63,1,2.0,0.0,0.0
5465,1388112,437,426,15,630,4,1,1,1,411,37.0,103634,25,2,2.0,1.0,1.0
3208,218007,324,304,11,820,4,1,1,2,411,28.0,129131,46,1,3.0,1.0,1.0
5195,1394193,396,365,13,650,4,1,1,1,411,46.0,53370,33,2,3.0,1.0,0.0
11847,1378562,486,485,17,170,4,1,1,1,411,38.0,46131,36,2,1.0,1.0,0.0
3181,1395914,386,334,12,830,4,1,1,1,411,28.0,78857,54,1,3.5,0.5,0.5
2054,1382375,470,426,15,990,4,1,1,1,411,48.0,113652,37,2,2.0,1.0,1.0
9834,1374751,505,485,17,260,4,1,1,1,411,8.0,113652,43,2,1.0,1.0,0.0
10623,1412760,309,304,11,230,4,1,1,2,411,43.0,87534,38,2,1.0,1.0,0.0
2333,1380539,477,454,16,930,4,1,1,1,411,28.0,103884,35,1,2.0,1.0,1.0
9140,1386539,445,426,15,300,4,1,1,1,411,28.0,213218,37,2,1.0,1.0,0.0
1068,1382660,466,454,16,1180,4,1,1,1,411,23.0,37358,34,1,2.0,1.0,0.0
6874,1404458,329,304,11,520,4,1,1,2,411,35.0,28963,38,2,2.0,1.0,1.0
1511,1374670,506,485,17,1070,4,1,1,1,411,39.0,113652,49,2,2.0,1.0,1.0
6755,1418811,304,304,11,530,4,1,1,2,411,24.0,113652,20,1,2.0,1.0,1.0
5885,1393997,396,395,14,600,4,1,1,1,411,28.0,82646,41,1,1.0,1.0,0.0
6387,1402768,339,334,12,560,4,1,1,1,411,28.0,297767,67,1,1.0,0.0,0.0
3685,1402267,344,334,12,780,4,1,1,1,411,26.0,118618,38,1,2.0,1.0,1.0
8999,1391895,410,395,14,310,4,1,1,1,411,41.0,87814,29,2,1.0,1.0,0.0
10180,1379189,483,454,16,250,4,1,1,1,411,28.0,76854,50,2,1.0,0.0,0.0
9330,1380064,479,454,16,290,4,1,1,1,411,28.0,198458,26,1,0.0,0.0,0.0
8538,1376808,494,485,17,350,4,1,1,1,411,50.0,71880,36,2,2.0,1.0,0.0
10906,1400610,354,334,12,210,4,1,1,1,411,9.0,125077,40,2,2.0,1.0,0.0
9806,1393647,400,395,14,260,4,1,1,1,411,28.0,113652,46,1,1.0,1.0,0.0
9113,1384102,459,426,15,300,4,1,1,1,411,8.0,113652,29,1,1.0,0.0,0.0
2221,1379350,480,454,16,960,4,1,1,1,411,15.0,71737,52,2,3.0,1.0,1.0
10024,1395486,388,365,13,250,4,1,1,1,411,28.0,62763,45,2,1.0,1.0,0.0
4403,1385471,452,426,15,710,4,1,1,1,411,50.0,193424,57,1,2.0,1.0,0.0
3021,1388594,434,426,15,850,4,1,1,1,411,41.0,48804,40,2,1.0,0.0,1.0
554,1374285,508,485,17,1430,4,1,1,1,411,4.0,80114,46,2,2.0,1.0,1.0
3508,1398253,372,365,13,790,4,1,1,1,411,15.0,130683,40,1,2.0,1.0,1.0
3316,1383825,462,426,15,810,4,1,1,1,411,46.0,59522,47,2,2.0,1.0,1.0
5100,1374935,505,485,17,660,4,1,1,1,411,28.0,314188,32,1,2.0,0.0,0.0
10369,1393426,401,395,14,240,4,1,1,1,411,38.0,113652,39,1,2.0,1.0,0.0
3467,1395278,389,365,13,790,4,1,1,1,411,30.0,93800,43,2,2.0,1.0,1.0
7364,1414333,308,304,11,470,4,1,1,2,411,13.0,95651,50,2,2.0,1.0,1.0
5228,1403413,336,304,11,650,4,1,1,2,411,33.0,145555,23,2,2.0,1.0,1.0
8326,1378874,484,454,16,370,4,1,1,1,411,28.0,58374,34,2,1.0,0.0,0.0
10505,1376525,497,485,17,230,4,1,1,1,411,35.0,113652,44,2,1.0,0.0,0.0
3780,1374079,508,485,17,770,4,1,1,1,411,28.0,144348,39,2,2.0,1.0,0.0
4341,1406444,317,304,11,710,4,1,1,2,411,47.0,28351,42,2,2.0,1.0,1.0
9303,1404279,330,304,11,290,4,1,1,2,411,30.0,61065,32,1,1.0,1.0,0.0
1178,1394086,396,365,13,1140,4,1,1,1,411,15.0,152222,37,1,2.0,0.0,1.0
9256,1122100,487,485,17,290,4,1,1,1,411,8.0,186769,45,2,1.0,1.0,0.0
11793,1418483,305,304,11,170,4,1,1,2,411,46.0,113652,23,1,1.0,1.0,0.0
937,1392548,407,395,14,1230,4,1,1,1,411,34.0,77942,27,2,3.5,0.0,0.0
5099,1398840,344,334,12,660,4,1,1,1,411,28.0,92468,49,1,1.0,0.0,0.0
360,1391412,414,395,14,1580,4,1,1,1,411,28.0,110649,27,2,5.0,0.0,1.0
10083,1394665,394,365,13,250,4,1,1,1,411,15.0,53563,43,1,1.0,1.0,0.0
9212,1376339,498,485,17,290,4,1,1,1,411,28.0,70069,35,2,1.0,1.0,0.0
4606,1404757,326,304,11,700,4,1,1,2,411,11.0,79945,34,1,1.0,0.0,1.0
11848,1381251,473,454,16,170,4,1,1,1,411,24.0,119789,46,1,0.5,0.0,0.0
11870,1378506,486,485,17,170,4,1,1,1,411,29.0,94650,28,1,1.0,1.0,0.0
7039,1377870,490,426,15,510,4,1,1,1,411,37.0,85024,36,2,2.0,1.0,0.0
8870,1399076,366,304,11,320,4,1,1,2,411,41.0,45637,30,2,1.0,0.0,0.0
2452,1391458,414,395,14,920,4,1,1,1,411,28.0,128663,35,1,2.0,1.0,1.0
8285,1398594,368,365,13,380,4,1,1,1,411,14.0,53625,30,1,1.0,1.0,0.0
7834,1395002,391,365,13,430,4,1,1,1,411,46.0,37664,60,1,1.0,1.0,0.0
1217,1376359,498,485,17,1130,4,1,1,1,411,41.0,79001,37,1,2.0,1.0,1.0
4598,1384135,459,454,16,700,4,1,1,1,411,28.0,76446,31,2,2.0,1.0,1.0
11638,1405973,319,304,11,180,4,1,1,2,411,50.0,113652,53,1,2.0,1.0,0.0
2142,1387922,438,426,15,980,4,1,1,1,411,41.0,62720,34,1,2.0,1.0,1.0
11063,1389356,429,426,15,210,4,1,1,1,411,20.0,113652,54,2,1.0,1.0,0.0
10618,1383568,463,426,15,230,4,1,1,1,411,14.0,18860,32,2,1.0,1.0,0.0
10992,1379208,483,454,16,210,4,1,1,1,411,28.0,152057,23,1,1.0,0.5,0.0
5281,1412843,309,304,11,650,4,1,1,2,411,36.0,192925,58,2,2.0,1.0,1.0
2935,1392376,408,395,14,860,4,1,1,1,411,28.0,57450,38,1,2.0,1.0,1.0
4035,1391467,414,395,14,740,4,1,1,1,411,41.0,144609,33,1,2.0,1.0,1.0
10186,1379686,480,454,16,250,4,1,1,1,411,21.0,91953,39,1,1.0,1.0,0.0
1369,1393978,396,395,14,1110,4,1,1,1,411,3.0,117117,32,1,2.0,0.0,1.0
9443,1382273,470,454,16,280,4,1,1,1,411,25.0,37882,61,1,1.0,1.0,0.0
6149,1384210,459,454,16,580,4,1,1,1,411,45.0,99569,32,1,1.0,1.0,0.0
5714,1381726,472,454,16,610,4,1,1,1,411,28.0,113652,52,2,1.0,0.0,0.0
11671,1416254,307,304,11,180,4,1,1,2,411,28.0,113652,52,2,2.0,1.0,0.0
5421,1383451,464,454,16,640,4,1,1,1,411,28.0,197710,38,2,3.0,0.0,0.0
11221,1398300,372,365,13,200,4,1,1,1,411,46.0,31446,39,2,0.0,0.0,0.0
8383,1405779,321,304,11,360,4,1,1,2,411,28.0,117847,25,2,2.0,1.0,0.0
461,1382001,471,454,16,1500,4,1,1,1,411,35.0,58771,32,2,3.5,0.0,1.0
8223,1380883,476,454,16,380,4,1,1,1,411,17.0,116301,43,2,2.0,1.0,0.0
1053,1389694,428,395,14,1190,4,1,1,1,411,7.0,194709,57,2,3.0,0.0,0.0
3207,1418616,305,304,11,820,4,1,1,2,411,8.0,126660,28,2,4.0,0.0,1.0
200,1386242,449,426,15,1750,4,1,1,1,411,3.0,17647,56,2,4.0,0.0,1.0
10402,1010926,360,334,12,240,4,1,1,1,411,28.0,51539,48,2,1.0,1.0,0.0
4165,1394090,396,365,13,730,4,1,1,1,411,46.0,51266,34,1,2.0,1.0,1.0
6798,1395053,389,365,13,520,4,1,1,1,411,28.0,297612,61,1,1.0,0.0,0.0
11354,1403829,332,304,11,190,4,1,1,2,411,29.0,76892,38,2,1.0,1.0,0.0
3328,1389342,430,426,15,810,4,1,1,1,411,45.0,85529,40,1,2.0,1.0,1.0
1634,1380287,478,454,16,1060,4,1,1,1,411,8.0,211369,34,1,2.0,0.0,0.0
6459,1395623,387,334,12,550,4,1,1,1,411,28.0,272481,29,1,1.5,0.0,0.0
3946,1384765,457,454,16,750,4,1,1,1,411,41.0,156220,45,2,2.0,1.0,0.0
1643,1383629,463,454,16,1060,4,1,1,1,411,29.0,113652,61,2,2.0,1.0,1.0
6925,1401260,351,334,12,520,4,1,1,1,411,48.0,113652,42,2,3.0,0.0,0.0
927,1385554,452,426,15,1240,4,1,1,1,411,35.0,128703,54,1,2.0,1.0,1.0
4989,1395627,387,365,13,670,4,1,1,1,411,29.0,38300,34,2,2.0,1.0,1.0
3154,1401067,352,334,12,830,4,1,1,1,411,28.0,113652,31,1,2.5,0.0,1.0
3045,1398438,371,365,13,850,4,1,1,1,411,30.0,36894,27,1,2.0,1.0,1.0
8625,1379744,480,454,16,340,4,1,1,1,411,3.0,113652,45,2,1.0,1.0,0.0
149,1378378,487,485,17,1850,4,1,1,1,411,28.0,113652,51,2,3.0,1.0,1.0
2012,1383576,463,426,15,990,4,1,1,1,411,18.0,51640,47,2,2.0,1.0,1.0
11365,1400749,354,334,12,190,4,1,1,1,411,28.0,51872,31,1,1.0,0.5,0.0
9801,1417606,305,304,11,260,4,1,1,2,411,9.0,113652,44,2,2.0,1.0,0.0
3305,1388929,431,426,15,810,4,1,1,1,411,39.0,113652,28,1,2.0,0.0,0.0
4772,322048,464,454,16,680,4,1,1,1,411,28.0,92069,76,1,2.0,1.0,0.0
9635,1384427,458,426,15,270,4,1,1,1,411,8.0,113652,50,1,2.0,1.0,0.0
10875,1402721,340,334,12,220,4,1,1,1,411,15.0,113652,62,2,0.0,0.0,0.0
11090,1378449,486,454,16,210,4,1,1,1,411,28.0,101628,28,1,1.0,1.0,0.0
10929,1375899,500,454,16,210,4,1,1,1,411,46.0,72535,64,1,1.0,0.0,0.0
11012,1383965,459,454,16,210,4,1,1,1,411,27.0,46878,31,2,1.0,1.0,0.0
6023,1398657,368,334,12,590,4,1,1,1,411,28.0,94353,35,2,3.0,0.0,0.0
2239,1378322,487,485,17,950,4,1,1,1,411,33.0,75669,39,2,2.0,1.0,1.0
2406,1385430,452,426,15,930,4,1,1,1,411,4.0,69589,35,1,2.0,1.0,1.0
7660,1421069,303,304,11,450,4,1,1,2,411,8.0,75606,58,1,1.0,1.0,1.0
11397,1390901,416,395,14,190,4,1,1,1,411,28.0,165485,26,1,1.0,0.0,0.0
7001,1419308,304,304,11,510,4,1,1,2,411,20.0,113652,64,2,2.0,1.0,0.0
3651,1397763,374,334,12,780,4,1,1,1,411,7.0,80978,20,2,2.0,1.0,1.0
468,1375713,501,485,17,1500,4,1,1,1,411,28.0,65828,53,1,4.0,0.0,1.0
7717,1381346,473,454,16,440,4,1,1,1,411,14.0,58825,21,2,1.0,0.0,0.0
10345,1402516,340,334,12,240,4,1,1,1,411,30.0,113652,42,2,1.0,1.0,0.0
5703,1383790,462,454,16,610,4,1,1,1,411,9.0,100379,34,2,1.0,0.0,0.0
2957,1398810,368,365,13,850,4,1,1,1,411,41.0,87943,57,2,2.0,1.0,1.0
8833,1382726,466,454,16,320,4,1,1,1,411,28.0,270337,25,1,1.0,1.0,0.0
101,1379763,480,454,16,1960,4,1,1,1,411,28.0,113652,36,1,5.0,1.0,1.0
4896,1375155,504,485,17,670,4,1,1,1,411,27.0,64329,35,1,2.0,1.0,0.0
6113,1398345,371,365,13,580,4,1,1,1,411,28.0,110638,76,2,2.0,1.0,0.0
9820,1409202,312,304,11,260,4,1,1,2,411,28.0,36730,31,1,1.0,0.0,0.0
3485,1398004,373,365,13,790,4,1,1,1,411,28.0,113652,43,2,3.0,0.0,0.0
2996,1397591,375,365,13,850,4,1,1,1,411,46.0,76759,28,1,2.0,1.0,1.0
647,1375424,501,485,17,1380,4,1,1,1,411,29.0,263186,32,2,2.0,1.0,1.0
10191,1380639,477,454,16,250,4,1,1,1,411,15.0,176879,65,2,1.0,1.0,0.0
5259,1417620,305,304,11,650,4,1,1,2,411,10.0,113652,20,1,2.0,1.0,1.0
10471,1380872,476,454,16,230,4,1,1,1,411,35.0,81253,53,2,1.0,1.0,0.0
11772,1417138,307,304,11,170,4,1,1,2,411,50.0,206795,35,2,1.0,1.0,0.0
4674,1391043,416,395,14,690,4,1,1,1,411,46.0,150201,25,2,2.0,0.0,0.0
4983,1378895,484,454,16,670,4,1,1,1,411,28.0,113652,77,2,1.0,0.0,0.0
3688,1383067,465,454,16,780,4,1,1,1,411,29.0,53300,34,1,3.0,0.0,0.0
3068,1398175,372,365,13,850,4,1,1,1,411,28.0,127867,46,2,2.0,1.0,1.0
1791,1386890,442,334,12,1020,4,1,1,1,411,23.0,125640,37,1,2.0,1.0,0.0
3909,1380201,478,454,16,760,4,1,1,1,411,28.0,619313,31,2,2.0,1.0,1.0
99,1381221,473,454,16,1960,4,1,1,1,411,12.0,55606,22,2,3.0,1.0,1.0
10197,1388349,436,426,15,250,4,1,1,1,411,19.0,128621,65,2,2.0,1.0,0.0
4847,1377518,492,485,17,680,4,1,1,1,411,28.0,162919,61,1,2.0,1.0,0.0
2874,1403296,337,334,12,860,4,1,1,1,411,3.0,77732,34,2,2.0,0.0,1.0
1035,1385741,451,426,15,1190,4,1,1,1,411,8.0,110260,33,1,2.0,1.0,1.0
1688,1387804,438,426,15,1050,4,1,1,1,411,28.0,71397,43,2,2.0,1.0,1.0
7012,1380926,476,454,16,510,4,1,1,1,411,30.0,42767,41,2,1.0,1.0,0.0
2676,1375850,500,485,17,890,4,1,1,1,411,46.0,74545,42,2,2.0,1.0,1.0
8960,1419610,304,304,11,310,4,1,1,2,411,8.0,117700,32,2,1.0,1.0,0.0
9080,1375207,504,485,17,300,4,1,1,1,411,28.0,140326,39,1,1.0,0.0,0.0
1213,1375437,501,485,17,1130,4,1,1,1,411,7.0,113652,29,1,3.0,1.0,1.0
1022,1405658,322,304,11,1200,4,1,1,2,411,46.0,37275,38,1,3.0,1.0,1.0
7524,1416330,307,304,11,460,4,1,1,2,411,10.0,138293,33,1,2.0,1.0,1.0
7670,1390897,416,395,14,440,4,1,1,1,411,48.0,113652,40,1,1.0,1.0,0.0
7008,1406751,316,304,11,510,4,1,1,2,411,28.0,251936,34,2,3.0,0.0,0.0
1347,1381129,473,454,16,1120,4,1,1,1,411,29.0,35288,34,2,3.0,0.0,0.0
8095,1412828,309,304,11,400,4,1,1,2,411,26.0,25741,40,1,1.0,1.0,0.0
1768,1382281,470,454,16,1030,4,1,1,1,411,29.0,40891,33,1,3.0,1.0,0.0
5302,1391156,415,395,14,650,4,1,1,1,411,28.0,168725,41,2,2.5,1.0,0.5
900,1374610,506,485,17,1250,4,1,1,1,411,35.0,125926,40,2,2.0,1.0,1.0
2585,1375035,504,485,17,910,4,1,1,1,411,28.0,95212,43,1,2.0,1.0,1.0
10637,1390311,423,395,14,230,4,1,1,1,411,8.0,94500,46,2,1.0,1.0,0.0
9981,1391718,413,395,14,260,4,1,1,1,411,28.0,154775,21,1,1.0,1.0,0.0
4301,1401833,346,334,12,720,4,1,1,1,411,29.0,59370,30,1,2.0,1.0,1.0
1793,1405003,325,304,11,1020,4,1,1,2,411,18.0,71464,29,1,2.0,0.0,1.0
5627,1388805,431,395,14,620,4,1,1,1,411,28.0,91109,74,2,2.0,0.0,1.0
7157,1394344,395,365,13,490,4,1,1,1,411,28.0,97628,56,1,1.0,1.0,0.0
8246,1376252,498,485,17,380,4,1,1,1,411,9.0,60425,46,1,1.0,1.0,0.0
119,1246858,366,334,12,1920,4,1,1,1,411,28.0,138880,59,2,5.0,0.0,1.0
11802,1397501,375,365,13,170,4,1,1,1,411,15.0,113652,46,2,0.0,0.0,0.0
7132,1374718,505,485,17,490,4,1,1,1,411,28.0,111513,66,1,2.0,0.0,0.0
6147,1419499,304,304,11,580,4,1,1,2,411,29.0,42355,24,2,2.0,1.0,1.0
11555,1381435,473,426,15,180,4,1,1,1,411,28.0,251760,41,2,0.0,0.0,0.0
4640,1380311,478,454,16,700,4,1,1,1,411,28.0,128445,30,2,2.0,1.0,1.0
5282,1399043,367,334,12,650,4,1,1,1,411,18.0,55071,39,1,2.0,1.0,1.0
5858,1401499,347,334,12,600,4,1,1,1,411,28.0,83302,78,1,2.0,1.0,0.0
5493,1395359,388,365,13,630,4,1,1,1,411,13.0,68515,28,2,3.0,0.0,0.0
10667,1398176,372,365,13,230,4,1,1,1,411,28.0,121576,40,2,1.0,1.0,0.0
4782,1380023,479,454,16,680,4,1,1,1,411,46.0,80768,47,2,2.0,1.0,0.0
1219,1385400,452,426,15,1130,4,1,1,1,411,23.0,44100,32,2,4.0,0.0,1.0
700,1398079,373,365,13,1350,4,1,1,1,411,36.0,60482,32,1,4.0,0.0,1.0
6601,1392026,410,395,14,540,4,1,1,1,411,46.0,113652,60,1,2.0,1.0,0.0
2638,1398060,373,365,13,900,4,1,1,1,411,28.0,113652,25,1,2.0,0.0,1.0
8492,1375354,501,485,17,350,4,1,1,1,411,41.0,79577,37,2,1.0,1.0,0.0
5200,1377217,493,485,17,650,4,1,1,1,411,35.0,197523,27,2,1.0,1.0,0.0
2420,1387154,443,426,15,930,4,1,1,1,411,8.0,144169,30,1,2.0,1.0,1.0
304,1377340,493,485,17,1640,4,1,1,1,411,39.0,42987,39,1,3.0,0.0,1.0
9830,1386192,449,426,15,260,4,1,1,1,411,28.0,66753,44,2,1.0,0.0,0.0
